Event Count,location,Event duration
211,"{'latitude': 21.6663224, 'longitude': 83.6124519}",655.166
212,"{'latitude': 21.1983018, 'longitude': 86.5991235}",429.996
213,"{'latitude': 19.0490442, 'longitude': 82.5534301}",878.556
214,"{'latitude': 20.9404733, 'longitude': 85.3349881}",527
215,"{'latitude': 22.1848495, 'longitude': 86.1152286}",564
216,"{'latitude': 18.36452, 'longitude': 81.89206333333334}",1472.112
217,"{'latitude': 21.4937804, 'longitude': 83.9899776}",342.5
218,"{'latitude': 21.784186666666667, 'longitude': 84.58420833333334}",956.466
219,"{'latitude': 21.0473117, 'longitude': 82.7797863}",648.167
220,"{'latitude': 20.7289416, 'longitude': 84.9832155}",370.664
221,"{'latitude': 20.7929216, 'longitude': 83.2664651}",461.085
222,"{'latitude': 20.852613, 'longitude': 85.947677}",426.336
223,"{'latitude': 20.7693377, 'longitude': 86.1528019}",455.082
224,"{'latitude': 18.645696666666666, 'longitude': 82.66295666666667}",342
225,"{'latitude': 21.7529253, 'longitude': 84.6077046}",435.417
226,"{'latitude': 19.2318162, 'longitude': 82.5490426}",571.892
227,"{'latitude': 21.6289834, 'longitude': 86.1131187}",371.166
228,"{'latitude': 18.8781144, 'longitude': 82.7530785}",712.445
229,"{'latitude': 18.853231666666666, 'longitude': 83.87167666666667}",302.667
230,"{'latitude': 21.7614357, 'longitude': 83.7730479}",585
231,"{'latitude': 21.4301853, 'longitude': 83.6463537}",344.999
232,"{'latitude': 20.9179401, 'longitude': 83.3249021}",364.332
233,"{'latitude': 21.2767899, 'longitude': 86.6146602}",573.336
234,"{'latitude': 19.3056383, 'longitude': 84.7950458}",383.516
235,"{'latitude': 19.3505176, 'longitude': 83.7875528}",353.778
236,"{'latitude': 19.6038437, 'longitude': 83.6520707}",575.889
237,"{'latitude': 21.4166844, 'longitude': 83.8681687}",417.076
238,"{'latitude': 19.239065, 'longitude': 83.823135}",341
239,"{'latitude': 20.4662249, 'longitude': 82.9202893}",1526.244
240,"{'latitude': 20.04635, 'longitude': 81.93417833333334}",353.778
241,"{'latitude': 18.073526666666666, 'longitude': 81.75049833333334}",941.445
242,"{'latitude': 20.205146666666668, 'longitude': 82.92942166666667}",843.222
243,"{'latitude': 20.5051013, 'longitude': 86.4678807}",308.747
244,"{'latitude': 22.1592229, 'longitude': 86.4109196}",309.664
245,"{'latitude': 20.7160894, 'longitude': 85.5315693}",484.083
246,"{'latitude': 19.3435228, 'longitude': 83.5937979}",574.332
247,"{'latitude': 21.3377463, 'longitude': 83.6226186}",1830.238
248,"{'latitude': 20.9975994, 'longitude': 83.0612536}",1805.38
249,"{'latitude': 21.2948552, 'longitude': 86.6901775}",461.087
250,"{'latitude': 20.7914401, 'longitude': 86.4019977}",680
251,"{'latitude': 20.6366423, 'longitude': 86.3342321}",370
252,"{'latitude': 19.0479961, 'longitude': 82.5534312}",330.222
253,"{'latitude': 20.3181767, 'longitude': 86.1005863}",329.638
254,"{'latitude': 21.1836137, 'longitude': 83.5936553}",465.749
255,"{'latitude': 21.6579296, 'longitude': 83.9390453}",644.919
256,"{'latitude': 20.8265758, 'longitude': 83.9194167}",473.17
257,"{'latitude': 22.2779739, 'longitude': 86.0699456}",739.249
258,"{'latitude': 22.1173341, 'longitude': 84.0598694}",753.502
259,"{'latitude': 18.8649484, 'longitude': 82.5731209}",854.738
260,"{'latitude': 19.0978561, 'longitude': 84.2053566}",307.466
261,"{'latitude': 21.6355593, 'longitude': 85.6078763}",554
262,"{'latitude': 21.5041296, 'longitude': 84.0819022}",486.5
263,"{'latitude': 20.8192473, 'longitude': 86.2015034}",509
264,"{'latitude': 20.8076822, 'longitude': 82.5359186}",924.663
265,"{'latitude': 19.57949, 'longitude': 83.74422}",497.223
266,"{'latitude': 20.8387176, 'longitude': 84.3222155}",1036.172
267,"{'latitude': 21.5204349, 'longitude': 86.1563938}",329.664
268,"{'latitude': 19.705223333333333, 'longitude': 82.549615}",542.445
269,"{'latitude': 19.2306336, 'longitude': 82.5500835}",1568.445
270,"{'latitude': 19.216098333333335, 'longitude': 82.54669166666666}",684
271,"{'latitude': 21.9497052, 'longitude': 84.1763987}",384
272,"{'latitude': 21.80453, 'longitude': 84.69621833333333}",936.778
273,"{'latitude': 21.7982975, 'longitude': 86.6627913}",454
274,"{'latitude': 21.4447208, 'longitude': 86.7603183}",303.664
275,"{'latitude': 21.0165409, 'longitude': 83.3065119}",564
276,"{'latitude': 19.2018009, 'longitude': 83.5954955}",815.667
277,"{'latitude': 19.270415, 'longitude': 84.77719166666667}",768.555
278,"{'latitude': 21.9475969, 'longitude': 86.5924384}",310.996
